Date	URL	Question	Direction	Round start	Round finish ts	Actually real	Correct response	Comment
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Путин сказал что честное провидение выборов очень важно для сохранения внутри политической стабильности	DS	434	443	1	1	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Обязательный предмет «Семьеведение» могут ввести в следующем году в рамках школьной программы. Заявила председатель гос думы.	SD	501	543	1	0	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Основы военной подготовки введут в детсадах с 2025 года.	DS	560	598	0	1	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Мэр москвы собянин сообщил что город досрочно выполнил план по набору контрактников. По его словам в армию записалось более 22 тысяч жителей Москвы.	SD	640	671	1	0	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	Профессия понятого названа более перспективной и более оплачиваемой на рынке труда Российской Федерации.	DS	714	733	0	1	
2023-11-17	https://www.youtube.com/watch?v=VKN3seBgYVE	«Войска Иисуса Христа против антихриста» так командир чеченского спецназа назвал своих бойцов.	SD	830	860	1	1	
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Мужчину отправили в колонию на два года за избиение машины мясом в городе Санкт Петербурге.	DS	200	270	1	0	Sergey didn’t know
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Бешеные коты отправляют на карантин третье Саратовское село подряд	SD	335	364	1	1	
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	В Новосибирске начали разбирать недостроенную школу.	SD	420	445	1	1	
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Новый президент Аргентины разрешает принимать героин в школьных столовых	DS	515	528	0	1	9:35 Sergey said “2 – 2”, as he gave out extra point
2023-11-24	https://www.youtube.com/watch?v=x0hl_s3yUBU	Компания помогвашия россиянам избежать мобилизации путем получения Израильского пасспорта, передала данные новоиспеченных граждан в ЦАХАЛ	SD	579	628	0	0	Draw
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Чиновники заявили что тысячи фотографий заваленных улиц снегом Петербурга были созданы с помощью нейросетей	SD	147	160	0	0	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Банки Лаоса начали принимать карты Мир	SD	189	202	1	1	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Член СПЧ рекомендовал использовать представителей интелегенции признаных Иностранными агентами на лесозаготовках	SD	226	240	0	1	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	В сеуле, южно корейские фермеры подрались с полицией, во время митинга против закона который запретит употребление собак в пище	DS	280	320	1	1	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	В слове Россия нету буквы Я, так сказал депутат Калашников. Он призвал Россиян отказаться от индивидуализма ради общих целей.	DS	390	420	0	0	
2023-12-01	https://www.youtube.com/watch?v=pCQK2xFlKoA	Заднепровский район Смоленска переименуют из-за закона о запрете ЛГБТ пропаганде	DS	455	470	0	1	
2023-12-08	https://www.youtube.com/watch?v=JLvnUusPf0s	Имидж отечественного автопрома улучшат путем закупки хвалебных отзывов в сети интернет	DS	60	92	0	1	
2023-12-08	https://www.youtube.com/watch?v=JLvnUusPf0s	Парламентарии разработали законопроект, в котором вводится штрафы до дватьцати миллионов рублей за утечку биометрических персональных данных	SD	116	175	1	1	
2023-12-08	https://www.youtube.com/watch?v=JLvnUusPf0s	Источник в ЦИК сообщил что на ближайших всероссийских выборах можно будет отдать голос с помощью сканированья лица. По мнению чиновников это существенно снизит число злоупотреблений	DS	202	250	0	1	
2023-12-15	https://www.youtube.com/watch?v=Du17opQMUh8	Госдума намерена признать блогерство профессией и внести его в общероссийский классификатор экономической деятольности	DS	140	175	1	1	
2023-12-15	https://www.youtube.com/watch?v=Du17opQMUh8	В госдуме готовят законопроэкт о запрете пропаганды Чайлдфри. Термин Чайлдфри стал модным, и это может привести только в демографическую яму	SD	202	245	1	1	
2023-12-15	https://www.youtube.com/watch?v=Du17opQMUh8	Кардиологи признали что с нетерпением ждут прямой линии Путина	DS	256	278	0	1	
2023-12-15	https://www.youtube.com/watch?v=Du17opQMUh8	Запрет на выезд из России для айтишников объяснили заботой об их будущем	SD	322	367	0	0	Sergey said “2-2”, did he award himself an extra point?
2023-12-22	https://www.youtube.com/watch?v=gMSuCpfvIaM	В госдуме заявили что цены на яйца и курицу выросли потому что Россияни стали жить лучше и поедать больше мяса	DS	192	220	1	1	
2023-12-22	https://www.youtube.com/watch?v=gMSuCpfvIaM	В Новосибирской области планируют привлечь на стройки тысячи рабочих из Северной Кореи	SD	239	285	1	1	
2023-12-22	https://www.youtube.com/watch?v=gMSuCpfvIaM	Депутат госдумы предложил вырезать из новогодних шоу, участников голой вечеринки Евлеевой	DS	458	475	1	1	
2023-12-22	https://www.youtube.com/watch?v=gMSuCpfvIaM	РАН объявила астрологию лже-наукой, и порекомендовала Россиянам не использовать услуги астролога при принятии важных решений	SD	522	555	1	0	
2023-12-22	https://www.youtube.com/watch?v=gMSuCpfvIaM	В Новгородской летописи 11 го века нашли упоминание чушпана	DS	595	611	0	1	
2023-12-22	https://www.youtube.com/watch?v=gMSuCpfvIaM	В подмосковном клубе подпольно транслировали концерты иноагентов	SD	630	?	?	?	Stream crashed
2023-12-29	https://www.youtube.com/watch?v=irW_2vzwUGQ	Минюст Ставрополя приравнял каминг аут к экстремистской сообществу ЛГБТ+	DS	135	160	1	0	Sergey didn’t know
2023-12-29	https://www.youtube.com/watch?v=irW_2vzwUGQ	На участницу видеообращение к Путину попросившую построить новую школу завели дело	SD	185	215	1	1	
2023-12-29	https://www.youtube.com/watch?v=irW_2vzwUGQ	Чтоб не мешал делать дела.. В Кемерево для случайно избранного кандидата от народа устраивали фальшивые заседания горсовета	DS	258	269	0	1	Sergey knew
2023-12-29	https://www.youtube.com/watch?v=irW_2vzwUGQ	У казанского кремля задержали двух друзей посчитав их встречу несогласованным акцией	SD	308	332	1	1	Maybe showed answer too early
2023-12-29	https://www.youtube.com/watch?v=irW_2vzwUGQ	В Ульяновской области задержали восемь участников Крёстного хода с мироточивой иконой божей матери	DS	405	423	1	0	Sergey didn’t know
2023-12-29	https://www.youtube.com/watch?v=irW_2vzwUGQ	Участников голой вечеринки обязали провести бал в традиционном русском стиле	SD	517	528	0	1	
2024-01-05	https://www.youtube.com/watch?v=Ue7HR53tNt8	Потомок Литовских князей сказал что, пришло время прорубить коридор в Калининградскую область. Для поездок россиских граждан из России в Калининград визу и иные разряшения властей не терпимы а значит надо воевать.	DS	280	308	1	1	
2024-01-05	https://www.youtube.com/watch?v=Ue7HR53tNt8	Российский поезд который должен импортозаместить Ласточку сломался в первой поездке	SD	354	395	1	1	
2024-01-05	https://www.youtube.com/watch?v=Ue7HR53tNt8	Чиновник выиграл в лотерею 50 миллионов рублей не приобретая билета. В интервью, специалист по безопасности пожарной охраны сказал что, не смотрел тираж не смотря на то что имел на руках пару тысяч биллетов. При этом анонимный победитель заверил журналистов что не потратил на эти билетты  ни копейки.	DS	417	459	0	1	
2024-01-05	https://www.youtube.com/watch?v=Ue7HR53tNt8	В России запретят получать права после факта вождения в нетрезвом виде	SD	504	545	1	1	
2024-01-05	https://www.youtube.com/watch?v=Ue7HR53tNt8	В Самаре завели дело по статье пропаганда ЛГБТ из-за диссертации об нарушениях сексуальной ориентации. Экспертиза подтвердила что автор научной работы не как не выскал своего отрицательного отношения к запрещенной в России организации. Члены фокус группы на которых анализировали диссертацию, в свою очередь заявили: упоменание об ЛГБТ в диссертации вызывает у них желание вступить в противоестественные половые связи	DS	570	650	0	1	
2024-01-05	https://www.youtube.com/watch?v=Ue7HR53tNt8	В Берлине прошла демонстрация против отмены Русской культуры	SD	674	760	0	1	Boyko junior opened the door
2024-01-12	https://www.youtube.com/watch?v=qEhQReyMeH4	Абсолютный кал, z-военкоры протестировалы снаряды из КНДР. Если снаряд долетел и разорвался то у расщёта орудия праздник все танцуют и поют хвалебные песни председатели ким чин ыру, написал один военкор, а если снаряд не долетел и упал на голову нашей пихоте, то это спасибо корейцам.	DS	181	227	1	0	Sergey isn’t happy with the word choice Declared vs Tested
2024-01-12	https://www.youtube.com/watch?v=qEhQReyMeH4	В Петербурге избили мужчину за то что он не погладил чужую собаку	SD	273	294	1	1	
2024-01-12	https://www.youtube.com/watch?v=qEhQReyMeH4	Жена политика Сергея Удальцова депутат госдумы Анастасия Удальцова в ответ на аррест мужа написала разоблочающий пост в своём телеграм канале. В нём она прошлась по Марку Фейгену и другим национальным предателям	DS	320	375	1	0	
2024-01-12	https://www.youtube.com/watch?v=qEhQReyMeH4	Депутаты запретят купаться в проруби в купальниках и полуголыми во время крещенских купаний	SD	440	490	0	0	
2024-01-12	https://www.youtube.com/watch?v=qEhQReyMeH4	Путин признался что в детстве его любимой сказкой была Морозко	DS	527	535	0	1	
2024-01-12	https://www.youtube.com/watch?v=qEhQReyMeH4	Депутат госдумы заявил что просьбы женщин вернуть мобилизованных с войны это работа ЦРУ и ЦИПСО	SD	565	610	1	1	10:30 Sergey said “3-1”
2024-01-19	https://www.youtube.com/watch?v=49StzMfSmBY	На главной площади Барнаула от мороза треснул экран показывающий как замерзает Европа	DS	282	393	0	1	
2024-01-19	https://www.youtube.com/watch?v=49StzMfSmBY	Пугает девок скача в одном носке, в сети обнаружено пророчество 96го года	SD	421	467	1	1	
2024-01-19	https://www.youtube.com/watch?v=49StzMfSmBY	Россия выделит средства на поиск, оформление и юридическую защиту своей зарубежной недвижимости, в том числе СССР и Российской Империи	DS	578	635	1	0	
2024-01-19	https://www.youtube.com/watch?v=49StzMfSmBY	z-военкоры сообщают о задержании российских военных которые выявили цепочку поставки наркотиков в зону СВО	SD	685	762	1	1	
2024-01-19	https://www.youtube.com/watch?v=49StzMfSmBY	Виталий Милонов предложил жителям Петербурга самостоятельно чистить от снега	DS	825	836	1	1	Sergey knew
2024-01-19	https://www.youtube.com/watch?v=49StzMfSmBY	В день прорыва ленинграда, блокадники и ветераны великой отечественной войны смогут проехать по западному диаметру бесплатно	SD	892	927	1	1	
2024-01-26	https://www.youtube.com/watch?v=zD9GjqBGGjI	РПЦ разжаловала до дьякона митрополита подольского освящавшего теплосети подольска	DS	252	300	0	1	
2024-01-26	https://www.youtube.com/watch?v=zD9GjqBGGjI	Производство водки Путинка прекращено из-за запрета феминитивов и пропаганды ЛГБТ	SD	315	347	0	1	
2024-01-26	https://www.youtube.com/watch?v=zD9GjqBGGjI	Театру Кукол в Новокузнецке присвоили имя Владимира Машкова	DS	360	420	1	1	
2024-01-26	https://www.youtube.com/watch?v=zD9GjqBGGjI	В Барнауле создали штаб поддержки Дональда Трампа	SD	452	479	0	1	
2024-01-26	https://www.youtube.com/watch?v=zD9GjqBGGjI	Сегодня в день дального востока и арктики на выстовке Россия огонь семейного очага передали во все регионы дальновосточного федерального округа. Огонь в лампадах который отправиться в регионы, зажгли от лампады Якутии члены легендарного экипажа Алёша	DS	496	573	1	1	
2024-01-26	https://www.youtube.com/watch?v=zD9GjqBGGjI	В госдуме предложили запретить термин "лежачий полицейский". Потому что он демонстрирует провакоционные и пренебрежительное отношение к сотрудникам МВД	SD	652	712	1	1	
2024-02-02	https://www.youtube.com/watch?v=_D05PCaQips	Россия ищет рабочих из Индии, Пакистана и Северной Кореи потому что других кадров нет	DS	265	282	1	1	Boyko knew
2024-02-02	https://www.youtube.com/watch?v=_D05PCaQips	Жителям Подольска счета за коммуналку более крупные чем обычно.	SD	355	429	1	1	
2024-02-02	https://www.youtube.com/watch?v=_D05PCaQips	У людей на улице Газорезчиков в Декабре отрезали газ	DS	453	510	1	1	
2024-02-02	https://www.youtube.com/watch?v=_D05PCaQips	Тайланд получит беспроцентный кредит от России на духовно нравственное воспитание молодёжи	SD	575	649	0	1	
2024-02-02	https://www.youtube.com/watch?v=_D05PCaQips	Зубы со скидкой появятся в обмен на голос за Путина	DS	677	725	1	1	
2024-02-02	https://www.youtube.com/watch?v=_D05PCaQips	Чиновники ездившие на оккупированные территории теряют голову, и воруют не вероятно много даже по Российским меркам	SD	885	945	1	1	
2024-02-09	https://www.youtube.com/watch?v=d74GH7DwgUI	Минобороны на фоне протестов Жён мобилизованных предложило поднять возраст увольнения до 65 лет	DS	230	270	1	1	Sergey knew
2024-02-09	https://www.youtube.com/watch?v=d74GH7DwgUI	Суд приравнял к пропаганде ЛГБТ геймерские девайсы	SD	307	354	0	0	
2024-02-09	https://www.youtube.com/watch?v=d74GH7DwgUI	Мошенники начали продавать Россиянам путёвки Vice City и Новиград	DS	398	433	0	1	Sergey said “2-1”
2024-02-09	https://www.youtube.com/watch?v=d74GH7DwgUI	Россия начала менять нефть в обмен на бананы	SD	475	508	1	1	
2024-02-09	https://www.youtube.com/watch?v=d74GH7DwgUI	Сарик Андреасян снимет патриотическую экранизацию Мастера и Маргариты по сценарию Егора Колмогорова, главных героев сыграют Маргарита Симоньян и Тегран Кеосаян	DS	552	582	0	1	
2024-02-09	https://www.youtube.com/watch?v=d74GH7DwgUI	В России будут признавать нежелательными в том числе иностранные гос организации	SD	630	674	1	1	
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Власти Сургута убрали ризотто и паста карбонара из школьного меню	DS	237	298	1	0	
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Россиянка смогла отменить развод с погибшем в Украине мужем что бы получить выплаты за его смерть	SD	388	470	1	1	
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Боксёр Кевин Джонсон, получил Российское гражданство, может отказаться от своей фамилии и взять фамилию Владимировичь	DS	526	708	1	1	Sergey guessed
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Корм для собак Педигри, хочет поменять название из-за пропаганды ЛГБТ	SD	683	808	0	0	
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Культорные учреждение Санкт Петербурга и ДНР будут сотрудничать в области в сохранение памяти об и осваевании арктики	DS	832	882	1	1	
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Пещерное правовое сознание, так глава ЦИК Элла Памфилова вырозила своё отношение к СМИ которые писали что либо в поддержку Надеждина	SD	919	949	1	1	
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Алкоголики, бомжи, бичи, зеки, Краснояркский единорос перечислил группы Россиян заключающих контракты с вооружёнными силами России	DS	964	1005	1	1	Sergery knew
2024-03-08	https://www.youtube.com/watch?v=y_dOCrv0uOQ	Депутаты госдумы предложили компенсировать ущерб от санкций журналистам патриотической направленности	SD	1038	1120	0	0	
2024-03-15	https://www.youtube.com/watch?v=-_QXb-4i24g	В Хьюгорске Чебурашке пришлось раздеться чтобы проголосовать	DS	152	225	1	1	Sergery guessed
2024-03-15	https://www.youtube.com/watch?v=-_QXb-4i24g	Депутат назвывших людей подписаваших котран с Минобороны России бомжами вернулся с фронта через 2 недели	SD	352	415	1	1	
2024-03-15	https://www.youtube.com/watch?v=-_QXb-4i24g	Патриарх Кирилл опредил небесного пакравителя федеральной службы наказания. Им оказался приподобный Пимен Угрешский	DS	448	528	1	1	Sergery guessed
2024-03-15	https://www.youtube.com/watch?v=-_QXb-4i24g	Забайкальский избирком опубликовал пожелание мира и ролик с предложением оставить голос за нового правителя	SD	592	665	0	0	
2024-03-15	https://www.youtube.com/watch?v=-_QXb-4i24g	В Воронеже официального разрешили Россиянам опаздывать на работу в случае военной опасности	DS	700	879	1	0	
2024-03-15	https://www.youtube.com/watch?v=-_QXb-4i24g	Роскачество выявило высокий риск у Барби, и посоветовало детям покупать колобка	SD	952	1057	1	1	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	После выборов президента России Олег Кожемяка вместе с чиновниками был отправлен в КНДР	DS	199	312	1	1	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	Эмодзи клоуна признали экстремистской символикой	SD	380	437	0	1	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	Жители села Париж в Челябинской области снесли копию Эйфелевой башни и сожгли чучело Макрона	DS	495	554	0	0	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	В Иркутской области батюшка помазал прихожан моторным маслом вместо елейя	SD	608	675	0	0	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	Благодаря коммунальным авариям Россияни с экономили на отоплении и горячей воде 100 миллионов рублей	DS	707	850	0	1	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	Генадий Зюганов в прощённое Воскресенние обратился отдельно к православным коммунистам, товарищи христом богом прошу простите меня за всё	SD	1064	1203	0	1	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	Ульяновская Библиотека проведет встречу под названием "Лето в пионерском галстуке"	DS	1293	1352	1	0	
2024-03-22	https://www.youtube.com/watch?v=nNNTRGaoliA	Шаман впервый с начала войны пропустил митинг в поддержку Путина	SD	1460	1533	1	1	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Жители Кубани напали на полицейского за вопрос "зачем они роются в мусоре"	DS	240	295	1	1	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Шойгу привёз в Крым кости Суворова чтобы те просвещались светом офицеров	SD	395	562	1	1	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	330 детей из Белгородской области будут приняты на Ямале	DS	650	720	1	1	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Белорусские магазины уведомят правоохранительные органы об гражданах покупающих торты и шампанское	SD	798	865	0	0	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Министр экономики Монголии с позором покинул свой пост, посколько не смог снизить цены на бинзин на фоне падения мировых цен на нефть	DS	895	967	0	0	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Министерство просвещения обнаружило что российские школьники не умеют жать серпом	SD	1016	1037	0	0	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Владимир Мединский нашёл у Афганского крыла ИГИЛа Украинские корни	DS	1075	1090	0	0	
2024-03-29	https://www.youtube.com/watch?v=x071F16kiMs	Национальный центр интелектуальной собственности Белорусь выдал третикласнице из Минска патент на изобретенное ей устройство позволяющее ей всегда иметь перед глазами портрет президента Лукашенко	SD	1135	1214	0	1	It was counted as truth, but really it’s fake
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Россиянам вместо нового фильма Гая Ричи придётся смотреть патриотическое фэнтези блендаж	DS	131	200	1	1	
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Дома жителей Бийска засыпало лузгой от семечек	SD	263	325	1	0	
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	"Я участник СВО, прошу дать денег на продукты питания". Вернувшуйся с войны герой просит денег на еду около администрации	DS	364	435	1	1	Sergery knew
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Из школьной программы впервые убрали повесть за пропаганду ЛГБТ	SD	512	579	1	1	
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Малое число выпускаемых Аурусов объяснили необходимостью поддержания престижа марки	DS	601	655	0	0	
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Разработчики игры Смута, разоблачили человека который участвовал в создание игры и ухудшал её качество	SD	828	891	0	1	
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Верховный суд запретил в России латинскую букву L 	DS	924	994	1	1	
2024-04-05	https://www.youtube.com/watch?v=FiaVzKWN-04	Для участия в форуме Россия Исламский Мир в Казане, приглашенно признаными в России террористами движение Таллибан	SD	1062	1102	1	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	Следственный комитет проверит связи "Голубиной Мафии" в Петербурге	DS	166	234	1	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	В Барнауле член КПРФ неделю прожил в чужом доме пока его не выгнала полиция	SD	316	372	0	0	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	Песков заверил что, самолёт президента обязательно пролетит над пострадавшими регионами	DS	408	458	0	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	В госдуме увидели в критике российской игры Смута заказ запада	SD	512	570	1	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	В Беларуси геев приравняли к зоофилам и некрофилам	DS	658	631	1	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	Сунь Чуань Цзинь (генконсул КНР) сравнил аэропорт Иркутска с автобусной станцией в уездном Китайском городе	SD	825	920	1	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	Сотрудникам курьеров магазина Лента в Белгороде раздали бронежилеты и каски об этом похвастались в пресслужбе магазина	DS	983	1070	1	1	
2024-04-12	https://www.youtube.com/watch?v=QjzcZNmfYCs	В Твери будут проводить еженедельные антиабортные молебны	SD	1159	1268	1	1	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	В качестве маскировки использовались звуки блеяния и мычанья. В коровника под Волгограда обнаружили тайные майнинговые фермы	DS	200	234	1	1	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	В Хабаровске пенсионерки делают интимный пирсинг несмотря на протесты ООН	SD	288	345	1	0	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	Костромичка похитила фельдшерско акушерский пункт	SD	440	636	1	1	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	Новый уличный туалет установят около бараков на Таёжной. Год назад его снесли после визита министра	DS	671	819	1	1	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	Минпромторг разрешил считать отечественные товары промаркированные или упакованные в Российской Федераци	DS	905	965	0	1	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	Телефонного мошенника обманувшего жену генерала МВД вычислили и задержали за 48 минут с момента обращения	SD	1018	1110	0	0	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	Гольф войдёт в школьную программу по физкультуре, он формирует у обучающихся чувство патриотизма	DS	1199	1251	1	0	
2024-04-19	https://www.youtube.com/watch?v=sRnwkQzTeiA	В Бурятии у вернувшегося участника СВО украли унитаз	SD	1353	1399	1	1	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	Инженеры из Твери создали бургер убийцу	DS	200	244	1	1	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	Инженеры из Твери создали бургер убийцу	SD	290	352	1	1	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	В Петербурге ищут горожанина кричавшего "Жизнь Ворам" на выпуске выпускников Филфака СПБГУ	DS	409	545	0	0	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	Голуби разворотили плитку которую ложили в прошлом году за 42 миллиона рублей	SD	566	642	0	0	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	Достроить второй дом и купить катер, Кубанские инспекторы ГИБДД поделились ожиданиями от Майских празников	DS	684	710	0	1	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	В Тамбовской области цыгане привезли в пункт приёма металлолома новейший Российский беспилотник	SD	794	890	1	1	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	Город Радужный Ханты Мансийского Автономного Округа переименовали в город Нормальный	DS	998	1019	0	1	
2024-05-03	https://www.youtube.com/watch?v=qq5bmrw1Pes	Участников войны с Украиной начнут массово переучивать в школьных учителей	SD	1176	1227	1	1	
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	В Череповце, мужчина закинул использованный презирвативы в чаны со святой водой сразу в трёх храмах	DS	277	295	1	1	Sergey knew
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	Саратовскому депутату заявившему об отсутвие в России свободы слова отключили микрофон за  клевету на на наш демократический строй	SD	349	423	0	0	
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	В "разговорах о важном" Александр Гелич Дугин раскажет школьникам о моральном разлажение запада и грядущем торжестве Русского мира	DS	472	528	0	0	
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	Житель Крыма Ангел Габриелович Отченаш три года не знал своё настоящие имя	SD	547	642	1	1	
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	В Иваново пациэнт попытался попасть к хирургу а ему ответили что трое хирургов умерло а ещё один уехал на войну	DS	725	748	1	1	Sergey knew
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	По просьбам Россиян федеральная сеть супермаркетов вернёт на улицы тележки с просрочкой	SD	866	925	0	0	
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	Храм в Сургуте попросил у государства миллион рублей на курс на нежность. Там будут развивать женское начало и учить носить платки	DS	954	990	1	1	
2024-05-10	https://www.youtube.com/watch?v=Zpzj13Nq6k8	В Москве арестовали Американца который напился, залез через окно в детскую библиотеку, разделся и уснул	SD	1025	1114	1	1	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Уфимца задержали за одежду цвета флага США	DS	257	288	0	1	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	 Первая в Росси политик трансгегдер, Юлия Алёшина, обьявила что совершает обратный переход поскольку осознала себя патриотам	SD	328	408	1	1	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Бесовскому транспорту место в аду, РПЦ больше не будет освещать елктросамокаты	DS	430	580	0	0	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Российские учёные изучили спермы котов с помощью тока	SD	610	730	1	1	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Вывеска "Автомобили из Белоруссии" помогла вдвое увеличить выручку в солонах Автоваза	DS	755	828	0	1	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Правительство выделило 90 миллионов рублей на компьютерную игру от студии чьё имя если прочитать задомнаперёд читаеться как РАСПИЛ	SD	875	948	1	1	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Путислав и Добродея, в России растет имя популярность исконно Русских имён	DS	997	1061	0	0	
2024-05-17	https://www.youtube.com/watch?v=cG90fd3ZwvQ	Студента криминалиста создавшего нейросеть для выявления откатов, отчислили	SD	1095	1175	0	0	
